,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
0,458993.212,7770546.879,-2372.72,0.7371992314707417,0.384217869558907,0.4903060409683327,1e-12,1e-12,1.000000000001,0,0,1,h0,Sea_floor,1,1,0.01
1,421937.866,7788675.622,-151.73,0.2622029411628978,0.6166023053416584,0.5187759413927092,1e-12,1e-12,1.000000000001,0,0,1,h0,Sea_floor,1,1,0.01
2,439998.5,7779851.75,-1928.62,0.4937143174325384,0.5034929454627501,0.4959987648340257,1e-12,1e-12,1.000000000001,0,0,1,h0,Sea_floor,1,1,0.01
3,449891.375,7775000.875,-2154.54,0.6205267597041396,0.4413116982616833,0.49310279506204335,1e-12,1e-12,1.000000000001,0,0,1,h0,Sea_floor,1,1,0.01
4,431530.495,7784001.447,-1567.33,0.3851666611427206,0.5566860982375601,0.5006299834907162,1e-12,1e-12,1.000000000001,0,0,1,h0,Sea_floor,1,1,0.01
5,455989.568,7772010.831,-2458.26,0.6986968313742645,0.4029836306231538,0.48920954108211023,1e-12,1e-12,1.000000000001,0,0,1,h1,Strat_1,2,2,0.01
6,423294.416,7788006.178,-950.79,0.2795919629147693,0.6080209951963177,0.5085331403746487,1e-12,1e-12,1.000000000001,0,0,1,h1,Strat_1,2,2,0.01
7,439671.676,7780005.279,-2000.49,0.48952490337110766,0.5054609666345055,0.4950774947051643,1e-12,1e-12,1.000000000001,0,0,1,h1,Strat_1,2,2,0.01
8,447999.926,7775914.63,-2282.6,0.5962811013770931,0.4530247243726847,0.4914612498734808,1e-12,1e-12,1.000000000001,0,0,1,h1,Strat_1,2,2,0.01
9,431423.466,7784056.126,-1708.07,0.383794703154382,0.557387004448447,0.498825898922246,1e-12,1e-12,1.000000000001,0,0,1,h1,Strat_1,2,2,0.01
10,458035.25,7771003.0,-2866.36,0.7249195351414758,0.3900646853714388,0.48397828548744837,1e-12,1e-12,1.000000000001,0,0,1,h2,Strat_2,3,3,0.01
11,423294.416,7788006.178,-1251.15,0.2795919629147693,0.6080209951963177,0.5046829567666784,1e-12,1e-12,1.000000000001,0,0,1,h2,Strat_2,3,3,0.01
12,440998.5,7779346.667,-2412.59,0.506532880516738,0.49701850716449797,0.48979496485816565,1e-12,1e-12,1.000000000001,0,0,1,h2,Strat_2,3,3,0.01
13,449987.406,7774956.031,-2696.42,0.6217577391356787,0.4407368626187409,0.4861566720979773,1e-12,1e-12,1.000000000001,0,0,1,h2,Strat_2,3,3,0.01
14,431998.748,7783762.223,-2024.78,0.3911689917625866,0.5536195903023123,0.4947661318078491,1e-12,1e-12,1.000000000001,0,0,1,h2,Strat_2,3,3,0.01
15,457994.773,7771022.273,-3093.37,0.7244006781635164,0.39031173753776116,0.48106834348170424,1e-12,1e-12,1.000000000001,0,0,1,h3,Strat_3,4,4,0.01
16,422999.485,7788153.208,-1391.86,0.2758113712857827,0.609905708526579,0.5028792567551007,1e-12,1e-12,1.000000000001,0,0,1,h3,Strat_3,4,4,0.01
17,439998.5,7779851.75,-2580.49,0.4937143174325384,0.5034929454627501,0.4876427281163285,1e-12,1e-12,1.000000000001,0,0,1,h3,Strat_3,4,4,0.01
18,449891.375,7775000.875,-2849.83,0.6205267597041396,0.4413116982616833,0.4841901763352302,1e-12,1e-12,1.000000000001,0,0,1,h3,Strat_3,4,4,0.01
19,431530.495,7784001.447,-2186.67,0.3851666611427206,0.5566860982375601,0.492690934630148,1e-12,1e-12,1.000000000001,0,0,1,h3,Strat_3,4,4,0.01
20,457994.773,7771022.273,-3126.9,0.7244006781635164,0.39031173753776116,0.480638537061491,1e-12,1e-12,1.000000000001,0,0,1,h4,Strat_4,5,5,0.01
21,423994.76,7787664.936,-1751.38,0.2885693666594098,0.6036467630923322,0.4982707269550693,1e-12,1e-12,1.000000000001,0,0,1,h4,Strat_4,5,5,0.01
22,439998.5,7779851.75,-2776.7,0.4937143174325384,0.5034929454627501,0.48512759785357773,1e-12,1e-12,1.000000000001,0,0,1,h4,Strat_4,5,5,0.01
23,449987.406,7774956.031,-2942.79,0.6217577391356787,0.4407368626187409,0.482998562710923,1e-12,1e-12,1.000000000001,0,0,1,h4,Strat_4,5,5,0.01
24,431998.748,7783762.223,-2477.46,0.3911689917625866,0.5536195903023123,0.48896342467089365,1e-12,1e-12,1.000000000001,0,0,1,h4,Strat_4,5,5,0.01
